node,eigenvector_centrality
323,0.21635255294212066
113,0.21635255294212066
112,0.21635255294212066
212,0.21635255294212066
121,0.21635255294212064
221,0.21635255294212064
223,0.21635255294212064
313,0.21635255294212064
232,0.21635255294212064
332,0.21635255294212064
331,0.21635255294212064
131,0.21635255294212064
123,0.20238542213547583
213,0.20238542213547583
312,0.20238542213547583
321,0.2023854221354758
132,0.2023854221354758
231,0.2023854221354758
322,0.16138360577163743
122,0.16138360577163743
233,0.1613836057716374
133,0.1613836057716374
211,0.16138360577163738
311,0.16138360577163738
333,0.10995712830653914
222,0.10995712830653914
111,0.10995712830653911
